iter	Passed	Remaining
0	146	145924
1	147	73494
2	148	49368
3	149	37273
4	150	30001
5	151	25148
6	152	21650
7	153	19064
8	154	17016
9	155	15366
10	155	14008
11	156	12875
12	157	11924
13	157	11101
14	158	10385
15	158	9758
16	159	9206
17	159	8725
18	160	8288
19	161	7901
20	161	7546
21	162	7233
22	163	6936
23	163	6662
24	164	6414
25	165	6183
26	165	5967
27	166	5774
28	166	5590
29	167	5418
30	168	5257
31	168	5103
32	169	4960
33	170	4833
34	170	4707
35	171	4587
36	172	4479
37	172	4372
38	173	4270
39	173	4175
40	174	4084
41	175	4002
42	176	3920
43	176	3844
44	177	3769
45	178	3697
46	178	3628
47	179	3562
48	180	3499
49	181	3440
50	181	3382
51	182	3325
52	183	3271
53	183	3218
54	184	3168
55	185	3120
56	185	3073
57	186	3028
58	187	2983
59	187	2942
60	188	2900
61	189	2860
62	190	2825
63	190	2788
64	191	2751
65	192	2719
66	192	2685
67	193	2653
68	194	2621
69	194	2589
70	195	2559
71	196	2531
72	197	2503
73	197	2475
74	198	2451
75	199	2424
76	200	2403
77	201	2380
78	202	2356
79	202	2332
80	204	2315
81	204	2293
82	205	2268
83	205	2245
84	206	2225
85	207	2205
86	208	2187
87	209	2168
88	210	2149
89	210	2132
90	212	2118
91	213	2102
92	213	2085
93	214	2067
94	215	2052
95	216	2038
96	217	2025
97	218	2010
98	219	1996
99	220	1981
100	221	1967
101	221	1953
102	222	1938
103	223	1922
104	223	1907
105	224	1892
106	225	1878
107	225	1863
108	226	1849
109	226	1835
110	227	1821
111	227	1807
112	228	1794
113	229	1781
114	229	1767
115	230	1755
116	230	1741
117	231	1729
118	232	1718
119	232	1706
120	233	1695
121	233	1683
122	234	1672
123	235	1662
124	235	1650
125	236	1640
126	236	1628
127	237	1618
128	238	1607
129	238	1597
130	239	1587
131	239	1577
132	240	1567
133	241	1557
134	241	1548
135	242	1539
136	243	1531
137	243	1522
138	244	1513
139	244	1504
140	245	1495
141	246	1487
142	247	1480
143	247	1472
144	248	1464
145	248	1456
146	249	1447
147	250	1439
148	250	1431
149	251	1423
150	251	1416
151	252	1409
152	253	1402
153	253	1394
154	254	1387
155	255	1380
156	255	1373
157	256	1366
158	256	1359
159	257	1351
160	257	1343
161	258	1337
162	259	1330
163	259	1324
164	260	1317
165	261	1311
166	261	1305
167	262	1298
168	262	1292
169	263	1286
170	264	1280
171	264	1274
172	265	1267
173	265	1261
174	266	1256
175	267	1250
176	267	1244
177	268	1238
178	268	1233
179	269	1227
180	270	1222
181	270	1217
182	271	1211
183	271	1206
184	272	1200
185	273	1195
186	273	1190
187	274	1185
188	274	1179
189	275	1174
190	276	1169
191	276	1164
192	277	1159
193	278	1155
194	278	1150
195	279	1146
196	280	1141
197	280	1136
198	281	1131
199	281	1126
200	282	1122
201	282	1117
202	283	1113
203	284	1108
204	284	1104
205	285	1099
206	285	1095
207	286	1091
208	287	1087
209	287	1083
210	288	1079
211	289	1075
212	289	1070
213	290	1066
214	291	1062
215	291	1058
216	292	1054
217	292	1050
218	293	1046
219	293	1042
220	294	1038
221	295	1034
222	295	1030
223	296	1027
224	297	1023
225	297	1019
226	298	1016
227	299	1012
228	299	1009
229	300	1005
230	301	1002
231	301	998
232	302	995
233	302	991
234	303	987
235	304	984
236	304	980
237	305	977
238	305	973
239	306	970
240	307	967
241	307	963
242	308	960
243	308	957
244	309	953
245	309	950
246	310	946
247	311	943
248	311	940
249	312	937
250	312	933
251	313	930
252	314	928
253	315	925
254	315	922
255	316	919
256	316	916
257	317	912
258	317	909
259	318	906
260	319	903
261	319	900
262	320	897
263	321	895
264	321	892
265	322	889
266	323	886
267	323	884
268	324	881
269	324	878
270	325	875
271	325	872
272	326	869
273	327	866
274	327	864
275	328	861
276	328	858
277	329	855
278	330	853
279	330	850
280	331	847
281	332	845
282	332	843
283	333	840
284	334	837
285	334	835
