iter	Passed	Remaining
0	148	147889
1	150	74851
2	151	50391
3	153	38146
4	155	30913
5	157	26085
6	159	22587
7	161	19965
8	162	17924
9	164	16254
10	166	14938
11	167	13815
12	169	12849
13	170	12041
14	172	11340
15	174	10709
16	175	10152
17	177	9657
18	178	9221
19	181	8891
20	182	8525
21	184	8193
22	185	7892
23	187	7609
24	188	7358
25	190	7122
26	191	6899
27	192	6692
28	194	6517
29	196	6341
30	197	6180
31	199	6025
32	200	5877
33	202	5741
34	203	5607
35	204	5481
36	206	5365
37	207	5262
38	209	5168
39	211	5064
40	212	4968
41	213	4877
42	215	4794
43	216	4711
44	218	4635
45	219	4561
46	221	4491
47	223	4429
48	225	4367
49	226	4304
50	228	4244
51	229	4186
52	231	4133
53	232	4079
54	234	4025
55	235	3974
56	237	3933
57	239	3885
58	240	3839
59	242	3798
60	244	3759
61	245	3717
62	247	3678
63	249	3643
64	250	3606
65	252	3572
66	253	3535
67	255	3500
68	257	3468
69	258	3438
70	260	3407
71	261	3375
72	263	3346
73	265	3317
74	266	3289
75	268	3262
76	269	3233
77	271	3206
78	272	3180
79	274	3153
80	275	3130
81	277	3105
82	278	3073
83	279	3049
84	281	3031
85	283	3012
86	285	2992
87	286	2971
88	288	2951
89	290	2937
90	292	2918
91	293	2901
92	296	2893
93	298	2875
94	300	2858
95	301	2838
96	303	2824
97	304	2807
98	306	2790
99	308	2774
100	310	2762
101	312	2750
102	314	2735
103	315	2721
104	317	2707
105	318	2690
106	320	2676
107	322	2661
108	323	2647
109	326	2638
110	328	2627
111	329	2614
112	331	2600
113	332	2587
114	334	2575
115	336	2562
116	337	2546
117	339	2535
118	341	2525
119	342	2513
120	344	2502
121	346	2491
122	347	2480
123	349	2467
124	351	2458
125	353	2449
126	354	2438
127	356	2431
128	358	2423
129	360	2412
130	362	2402
131	364	2395
132	365	2385
133	367	2375
134	370	2375
135	372	2368
136	374	2360
137	377	2357
138	379	2348
139	381	2343
140	385	2345
141	386	2337
142	388	2327
143	389	2318
144	391	2308
145	392	2298
146	394	2288
147	395	2278
148	397	2268
149	398	2259
150	401	2256
151	403	2249
152	404	2240
153	406	2231
154	407	2221
